id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
e1_00000,e1.bin,2,92,90, <0020> <0020> <0068> <0068> <0080> <0080> <00B0> <00B0> 9 9  ` `<0038>`<0038>`<0060>`<0060>`<0078>`<0078>`<00A8>`<00A8>`9`9`,,sin palabras reconocibles (probable gráfico/opcode),revisar
e1_00001,e1.bin,132,154,22,)<0200>)<0200>A<0200>A<0200>Y<0200>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e1_00002,e1.bin,220,242,22,1<0300>1<0300>I<0300>I<0300> <0400> ,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00003,e1.bin,292,314,22,1<0400>1<0400>I<0400>I<0400> <0500> ,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00004,e1.bin,372,386,14,)<0500>)<0500>A<0500>A,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00005,e1.bin,428,442,14,!<0600>!<0600>I<0600>I,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00006,e1.bin,500,522,22,)<0700>)<0700>A<0700>A<0700>Y<0700>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e1_00007,e1.bin,556,578,22,1<0800>1<0800>I<0800>I<0800> <0900> ,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00008,e1.bin,628,642,14,1<0900>1<0900>I<0900>I,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00009,e1.bin,676,690,14,!<0A00>!<0A00>9<0A00>9,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00010,e1.bin,724,746,22,)<0B00>)<0B00>A<0B00>A<0B00>Y<0B00>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e1_00011,e1.bin,860,882,22,1<0D00>1<0D00>I<0D00>I<0D00> <0E00> ,,sin palabras reconocibles (probable gráfico/opcode),revisar
e1_00012,e1.bin,932,954,22,!<0E00>!<0E00>9<0E00>9<0E00>Q<0E00>Q,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00013,e1.bin,1012,1026,14,)<0F00>)<0F00>A<0F00>A,,sin palabras reconocibles (probable gráfico/opcode),revisar
e1_00014,e1.bin,1076,1098,22,)<1000>)<1000>A<1000>A<1000>Y<1000>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e1_00015,e1.bin,1212,1234,22,1<1200>1<1200>I<1200>I<1200> <1300> ,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00016,e1.bin,1284,1306,22,1<1300>1<1300>I<1300>I<1300> <1400> ,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00017,e1.bin,1364,1386,22,!<1400>!<1400>9<1400>9<1400>Q<1400>Q,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00018,e1.bin,1452,1474,22,)<1500>)<1500>A<1500>A<1500>Y<1500>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e1_00019,e1.bin,1604,1618,14,9<1700>9<1700>Q<1700>Q,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00020,e1.bin,1668,1690,22,!<1800>!<1800>I<1800>I<1800> <1900> ,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00021,e1.bin,1748,1770,22,!<1900>!<1900>9<1900>9<1900>Q<1900>Q,,carácter repetido dominante (probable relleno gráfico),revisar
